id;country;city;phone;age;carrier;marital_status
Macon I. Watts;Namibia;Greenock;55(60)33657630;29;TIM;Married
Quincy N. Perkins;Saint Lucia;Wemmel;55(21)58063549;47;VIVO;Married
Kylie B. Paul;Pitcairn Islands;Neuss;55(12)45291066;24;CLARO;Single
Geraldine G. Frederick;Azerbaijan;Montgomery;55(14)28759647;20;VIVO;Married
Marny J. Buckley;Canada;Velaine-sur-Sambre;55(08)53855573;34;TIM;Single
Dawn Haley;Vanuatu;Brunn am Gebirge;55(08)64103435;44;OI;Married
Ursa Mayer;Turks and Caicos Islands;Pak Pattan;55(55)35367653;40;VIVO;Married
Chaim L. Aguilar;Holy See (Vatican City State);Cunco;55(29)69329857;54;NEXTEL;Divorced
Priscilla Hancock;Georgia;San Fabián;55(80)27595068;46;CLARO;Single
Mara I. Workman;Macedonia;Smetlede;55(73)56750342;34;VIVO;Single
Zane Brady;Ecuador;Rollegem;55(49)62833590;19;VIVO;Single
Darrel M. Burnett;Viet Nam;Bracknell;55(20)61321872;47;OI;Married
Timothy I. Velazquez;Bangladesh;Cisano Bergamasco;55(94)33468766;38;OI;Single
Kennan Conner;South Sudan;Duncan;55(54)41531915;45;OI;Married
Cara W. Brock;Ireland;Cessnock;55(82)12868846;26;OI;Divorced
Halee Durham;Ghana;Quilleco;55(67)20026979;59;VIVO;Married
Blossom K. Pickett;New Caledonia;Evansville;55(63)91528382;20;OI;Divorced
Chanda J. Larsen;Papua New Guinea;RosiŽres;55(27)55362249;25;CLARO;Married
Rowan Finley;French Polynesia;Township of Minden Hills;55(45)75971058;29;VIVO;Divorced
Gemma Baldwin;Afghanistan;Satara;55(13)72347039;19;OI;Single
Chancellor Gross;Ghana;Santu Lussurgiu;55(44)37038890;31;NEXTEL;Single
Meghan Kemp;Greenland;Hollabrunn;55(15)17189697;55;OI;Divorced
Gabriel E. Chandler;Cayman Islands;Malloa;55(67)95872633;60;OI;Single
Mechelle Le;Wallis and Futuna;Rangiora;55(85)42817879;45;TIM;Single
Armando A. Navarro;France;Vastogirardi;55(93)30306892;33;VIVO;Single
Edan Bray;Austria;Kawawachikamach;55(63)93628356;30;NEXTEL;Single
Carter Campos;Central African Republic;Recogne;55(31)26658685;18;CLARO;Divorced
Kerry Pennington;Yemen;Savannah;55(33)58518499;55;VIVO;Single
Bo K. Lopez;Zambia;Tongue;55(02)95445466;29;OI;Married
Ezekiel N. Alvarado;Turks and Caicos Islands;Tourinne;55(02)82725066;35;VIVO;Single
Randall A. Bryan;Bangladesh;Levin;55(89)84310991;35;NEXTEL;Divorced
Harding Fisher;Burkina Faso;Zaventem;55(11)68037494;47;CLARO;Single
Melanie G. Mcleod;Tajikistan;Campina Grande;55(18)41052493;48;NEXTEL;Married
Yuri Z. Miles;Panama;Fabro;55(62)85410490;33;CLARO;Divorced
Colby Anthony;Afghanistan;Jalandhar (Jullundur);55(21)84237720;24;TIM;Divorced
Cassidy Pate;Egypt;Maransart;55(09)56383569;48;TIM;Divorced
Mariko Best;Angola;Bever Bievene;55(68)54182820;57;VIVO;Single
Germaine Vang;Israel;Ravenstein;55(75)44001805;52;VIVO;Single
Jin Pruitt;Monaco;Goslar;55(17)69412263;35;CLARO;Single
Zia Gibson;Bahrain;Yorkton;55(27)93662145;33;TIM;Married
Jade M. Wise;Eritrea;Ceyhan;55(48)80525272;36;NEXTEL;Divorced
Illiana Palmer;Saint Helena, Ascension and Tristan da Cunha;Kano;55(93)91427137;50;NEXTEL;Married
Mary J. Gonzales;United Kingdom (Great Britain);Fossato Serralta;55(67)81990182;56;VIVO;Single
Yasir N. Fleming;Pitcairn Islands;Hunstanton;55(64)66485054;23;NEXTEL;Divorced
Jasper N. Miranda;Bulgaria;Sant'Agata Bolognese;55(27)84853663;52;CLARO;Married
Freya Lopez;Macao;Gontrode;55(79)84157293;52;OI;Single
Kamal C. Duncan;Saint Vincent and The Grenadines;Olsztyn;55(34)61618217;53;CLARO;Married
Richard E. Duran;Comoros;Malahide;55(03)49778560;31;OI;Single
Demetrius Melendez;Kenya;Llanidloes;55(14)24593382;33;OI;Divorced
Kasimir Vargas;Iran;Attigliano;55(27)33910631;32;TIM;Married
Zeph T. Harrison;Burundi;Birmingham;55(08)56013528;55;TIM;Married
Blake D. Morrison;Netherlands;Tilly;55(74)86005462;32;TIM;Divorced
Xavier Ayala;Montserrat;Capestrano;55(90)78522485;43;VIVO;Married
Callie Lester;Iraq;Mustafakemalpaşa;55(20)96855624;38;TIM;Single
Lee Q. Roman;Equatorial Guinea;Omal;55(89)18036919;31;OI;Divorced
Belle Kaufman;Tokelau;Ranst;55(11)96015346;41;TIM;Divorced
Griffin Carson;Trinidad and Tobago;Acerra;55(64)99948139;55;OI;Divorced
Kyla Fry;Guyana;Wimbledon;55(07)23976782;42;OI;Single
Tyler M. Bush;Saint Martin;Woodlands County;55(86)56969312;54;NEXTEL;Married
Rana R. Hammond;Madagascar;Chesterfield;55(59)39338745;28;NEXTEL;Divorced
Melissa Padilla;Niue;Mellet;55(42)51672780;46;NEXTEL;Single
Ila D. Roy;Uganda;Akron;55(64)78839342;50;NEXTEL;Married
Kay H. Reynolds;Brazil;Saint-Mard;55(78)79683304;32;VIVO;Divorced
Jael C. Hull;Greece;Schwalbach;55(23)91762300;45;VIVO;Single
Barclay Griffith;Korea, North;Newport;55(79)91164384;20;OI;Single
Brianna Small;Tanzania;Naperville;55(01)77588080;56;TIM;Married
Ferdinand O. Morris;Burkina Faso;Paranaguá;55(48)43176838;26;CLARO;Single
Eagan O. Strong;Northern Mariana Islands;Milmort;55(00)39155601;22;OI;Single
Chastity H. Moss;Turks and Caicos Islands;Vaughan;55(21)60295502;40;TIM;Married
Teagan E. Ray;Macedonia;Nazilli;55(97)92205904;29;OI;Married
Abel Robbins;Uganda;Emblem;55(40)65099354;57;TIM;Divorced
Zachery U. Robbins;Madagascar;Bossut-Gottechain;55(98)56563621;22;TIM;Married
